Campaign,Location,Target Type,Bid Modifier
TML | Search | Head Terms,"25 mi radius around Conroe, Texas",Location of presence,0%
TML | Search | Install & Replace,"25 mi radius around Conroe, Texas",Location of presence,0%
TML | Search | Components & Symptoms,"25 mi radius around Conroe, Texas",Location of presence,0%
TML | Search | Brand,"25 mi radius around Conroe, Texas",Location of presence,0%
TML | Search | Head Terms,"Conroe, Texas",Location of presence,0%
TML | Search | Head Terms,"The Woodlands, Texas",Location of presence,0%
TML | Search | Head Terms,"Spring, Texas",Location of presence,0%
TML | Search | Head Terms,"Montgomery, Texas",Location of presence,0%
TML | Search | Head Terms,"Willis, Texas",Location of presence,0%
TML | Search | Head Terms,"Magnolia, Texas",Location of presence,0%
TML | Search | Head Terms,"Tomball, Texas",Location of presence,0%
TML | Search | Head Terms,"Porter, Texas",Location of presence,0%
TML | Search | Head Terms,"New Caney, Texas",Location of presence,0%
TML | Search | Head Terms,"Shenandoah, Texas",Location of presence,0%
TML | Search | Head Terms,"Oak Ridge North, Texas",Location of presence,0%
TML | Search | Head Terms,"Splendora, Texas",Location of presence,0%
TML | Search | Install & Replace,"Conroe, Texas",Location of presence,0%
TML | Search | Install & Replace,"The Woodlands, Texas",Location of presence,0%
TML | Search | Install & Replace,"Spring, Texas",Location of presence,0%
TML | Search | Install & Replace,"Montgomery, Texas",Location of presence,0%
TML | Search | Install & Replace,"Willis, Texas",Location of presence,0%
TML | Search | Install & Replace,"Magnolia, Texas",Location of presence,0%
TML | Search | Install & Replace,"Tomball, Texas",Location of presence,0%
TML | Search | Install & Replace,"Porter, Texas",Location of presence,0%
TML | Search | Install & Replace,"New Caney, Texas",Location of presence,0%
TML | Search | Install & Replace,"Shenandoah, Texas",Location of presence,0%
TML | Search | Install & Replace,"Oak Ridge North, Texas",Location of presence,0%
TML | Search | Install & Replace,"Splendora, Texas",Location of presence,0%
TML | Search | Components & Symptoms,"Conroe, Texas",Location of presence,0%
TML | Search | Components & Symptoms,"The Woodlands, Texas",Location of presence,0%
TML | Search | Components & Symptoms,"Spring, Texas",Location of presence,0%
TML | Search | Components & Symptoms,"Montgomery, Texas",Location of presence,0%
TML | Search | Components & Symptoms,"Willis, Texas",Location of presence,0%
TML | Search | Components & Symptoms,"Magnolia, Texas",Location of presence,0%
TML | Search | Components & Symptoms,"Tomball, Texas",Location of presence,0%
TML | Search | Components & Symptoms,"Porter, Texas",Location of presence,0%
TML | Search | Components & Symptoms,"New Caney, Texas",Location of presence,0%
TML | Search | Components & Symptoms,"Shenandoah, Texas",Location of presence,0%
TML | Search | Components & Symptoms,"Oak Ridge North, Texas",Location of presence,0%
TML | Search | Components & Symptoms,"Splendora, Texas",Location of presence,0%
TML | Search | Brand,"Conroe, Texas",Location of presence,0%
TML | Search | Brand,"The Woodlands, Texas",Location of presence,0%
TML | Search | Brand,"Spring, Texas",Location of presence,0%
TML | Search | Brand,"Montgomery, Texas",Location of presence,0%
TML | Search | Brand,"Willis, Texas",Location of presence,0%
TML | Search | Brand,"Magnolia, Texas",Location of presence,0%
TML | Search | Brand,"Tomball, Texas",Location of presence,0%
TML | Search | Brand,"Porter, Texas",Location of presence,0%
TML | Search | Brand,"New Caney, Texas",Location of presence,0%
TML | Search | Brand,"Shenandoah, Texas",Location of presence,0%
TML | Search | Brand,"Oak Ridge North, Texas",Location of presence,0%
TML | Search | Brand,"Splendora, Texas",Location of presence,0%
